AS_ID	PREDICATE	OBJECT
auditioncertificate_stabi_ms_or_quart_125_45r_n_1	characteristics.copy	False
auditioncertificate_stabi_ms_or_quart_125_45r_n_1	characteristics.type	qira
auditioncertificate_stabi_ms_or_quart_125_45r_n_1	context.author_name	None
auditioncertificate_stabi_ms_or_quart_125_45r_n_1	context.author_viaf	None
auditioncertificate_stabi_ms_or_quart_125_45r_n_1	context.work_title	None
auditioncertificate_stabi_ms_or_quart_125_45r_n_1	edit.amended_by	None
auditioncertificate_stabi_ms_or_quart_125_45r_n_1	edit.editor	Said Aljoumani
auditioncertificate_stabi_ms_or_quart_125_45r_n_1	edit.status	wip
auditioncertificate_stabi_ms_or_quart_125_45r_n_1	object.audition_certificate_number	N. 1
auditioncertificate_stabi_ms_or_quart_125_45r_n_1	object.catalog	None
auditioncertificate_stabi_ms_or_quart_125_45r_n_1	object.classmark	Ms. Or. Quart 125
auditioncertificate_stabi_ms_or_quart_125_45r_n_1	object.folio_number	45r
auditioncertificate_stabi_ms_or_quart_125_45r_n_1	object.library	Stabi
auditioncertificate_stabi_ms_or_quart_125_45r_n_1	object.manuscript_link	resolver.staatsbibliothek-berlin.de/SBB00000BEF00000091
auditioncertificate_snl_3738_3_115v_n_2	characteristics.copy	False
auditioncertificate_snl_3738_3_115v_n_2	characteristics.type	qira
auditioncertificate_snl_3738_3_115v_n_2	context.author_name	علي بن محمد بن عبد الله بن أبي سيف المدائني
auditioncertificate_snl_3738_3_115v_n_2	context.author_viaf	None
auditioncertificate_snl_3738_3_115v_n_2	context.work_title	كتاب التعازي
auditioncertificate_snl_3738_3_115v_n_2	edit.amended_by	None
auditioncertificate_snl_3738_3_115v_n_2	edit.editor	Said Aljoumani
auditioncertificate_snl_3738_3_115v_n_2	edit.status	wip
auditioncertificate_snl_3738_3_115v_n_2	object.audition_certificate_number	N. 2
auditioncertificate_snl_3738_3_115v_n_2	object.catalog	FMMU 16
auditioncertificate_snl_3738_3_115v_n_2	object.classmark	3738/3
auditioncertificate_snl_3738_3_115v_n_2	object.folio_number	115v
auditioncertificate_snl_3738_3_115v_n_2	object.image_link	
auditioncertificate_snl_3738_3_115v_n_2	object.library	SNL
auditioncertificate_snl_3738_3_115v_n_2	object.manuscript_link	None
auditioncertificate_snl_3759_11_134r_n_1	characteristics.copy	False
auditioncertificate_snl_3759_11_134r_n_1	characteristics.type	qira
auditioncertificate_snl_3759_11_134r_n_1	context.author_name	الحسين بن هارون الضبي
auditioncertificate_snl_3759_11_134r_n_1	context.author_viaf	None
auditioncertificate_snl_3759_11_134r_n_1	context.work_title	أمالي الضبي
auditioncertificate_snl_3759_11_134r_n_1	edit.amended_by	None
auditioncertificate_snl_3759_11_134r_n_1	edit.editor	Said Aljoumani
auditioncertificate_snl_3759_11_134r_n_1	edit.status	wip
auditioncertificate_snl_3759_11_134r_n_1	object.audition_certificate_number	N. 1
auditioncertificate_snl_3759_11_134r_n_1	object.catalog	FMMU 108
auditioncertificate_snl_3759_11_134r_n_1	object.classmark	3759/11
auditioncertificate_snl_3759_11_134r_n_1	object.folio_number	134r
auditioncertificate_snl_3759_11_134r_n_1	object.library	SNL
auditioncertificate_snl_3759_11_134r_n_1	object.manuscript_link	None
auditioncertificate_stabi_landberg_351_1r_n_4	characteristics.copy	True
auditioncertificate_stabi_landberg_351_1r_n_4	characteristics.type	qira
auditioncertificate_stabi_landberg_351_1r_n_4	edit.amended_by	None
auditioncertificate_stabi_landberg_351_1r_n_4	edit.editor	Said Aljoumani
auditioncertificate_stabi_landberg_351_1r_n_4	edit.status	wip
auditioncertificate_stabi_landberg_351_1r_n_4	object.audition_certificate_number	N. 4
auditioncertificate_stabi_landberg_351_1r_n_4	object.classmark	Landberg 351
auditioncertificate_stabi_landberg_351_1r_n_4	object.folio_number	1r
auditioncertificate_stabi_landberg_351_1r_n_4	object.image_link	
auditioncertificate_stabi_landberg_351_1r_n_4	object.library	Stabi
auditioncertificate_stabi_landberg_351_1r_n_4	object.manuscript_link	None
auditioncertificate_bnf_suppl_turc_986_151v	characteristics.copy	True
auditioncertificate_bnf_suppl_turc_986_151v	characteristics.type	qira
auditioncertificate_bnf_suppl_turc_986_151v	context.author_name	أبو عمرو محمد بن أحمد بن حمدان الحيري
auditioncertificate_bnf_suppl_turc_986_151v	context.author_viaf	None
auditioncertificate_bnf_suppl_turc_986_151v	context.work_title	سؤالات أبي عمرو محمد بن أحمد بن حمدان الحيري
auditioncertificate_bnf_suppl_turc_986_151v	edit.amended_by	None
auditioncertificate_bnf_suppl_turc_986_151v	edit.editor	Said Aljoumani
auditioncertificate_bnf_suppl_turc_986_151v	edit.status	wip
auditioncertificate_bnf_suppl_turc_986_151v	object.audition_certificate_number	
auditioncertificate_bnf_suppl_turc_986_151v	object.catalog	None
auditioncertificate_bnf_suppl_turc_986_151v	object.classmark	Suppl Turc 986
auditioncertificate_bnf_suppl_turc_986_151v	object.folio_number	151v
auditioncertificate_bnf_suppl_turc_986_151v	object.image_link	https://gallica.bnf.fr/ark:/12148/btv1b10082613v/f159.highres
auditioncertificate_bnf_suppl_turc_986_151v	object.library	BNF
auditioncertificate_bnf_suppl_turc_986_151v	object.manuscript_link	https://gallica.bnf.fr/ark:/12148/btv1b10082613v/f159.item.r=turc%20986.zoom
auditioncertificate_snl_3750_3_25v_n_6	characteristics.copy	False
auditioncertificate_snl_3750_3_25v_n_6	characteristics.type	qira
auditioncertificate_snl_3750_3_25v_n_6	context.author_name	محمد بن إبراهيم بن علي المقري
auditioncertificate_snl_3750_3_25v_n_6	context.author_viaf	None
auditioncertificate_snl_3750_3_25v_n_6	context.work_title	مسند نافع بن أبي نعيم المقري
auditioncertificate_snl_3750_3_25v_n_6	edit.amended_by	None
auditioncertificate_snl_3750_3_25v_n_6	edit.editor	Said Aljoumani
auditioncertificate_snl_3750_3_25v_n_6	edit.status	wip
auditioncertificate_snl_3750_3_25v_n_6	object.audition_certificate_number	N. 6
auditioncertificate_snl_3750_3_25v_n_6	object.catalog	FMMU 61- 62 
auditioncertificate_snl_3750_3_25v_n_6	object.classmark	3750/3
auditioncertificate_snl_3750_3_25v_n_6	object.folio_number	25v
auditioncertificate_snl_3750_3_25v_n_6	object.image_link	
auditioncertificate_snl_3750_3_25v_n_6	object.library	SNL
auditioncertificate_snl_3750_3_25v_n_6	object.manuscript_link	None
auditioncertificate_bnf_suppl_turc_984_190v_n_1	characteristics.copy	False
auditioncertificate_bnf_suppl_turc_984_190v_n_1	characteristics.type	qira
auditioncertificate_bnf_suppl_turc_984_190v_n_1	context.author_name	أبو القاسم عبيد الله بن أحمد بن علي الصيدلاني
auditioncertificate_bnf_suppl_turc_984_190v_n_1	context.author_viaf	None
auditioncertificate_bnf_suppl_turc_984_190v_n_1	context.work_title	حديث من أبي القاسم عبيد الله بن أحمد بن علي الصيدلاني
auditioncertificate_bnf_suppl_turc_984_190v_n_1	edit.amended_by	None
auditioncertificate_bnf_suppl_turc_984_190v_n_1	edit.editor	Said Aljoumani
auditioncertificate_bnf_suppl_turc_984_190v_n_1	edit.status	wip
auditioncertificate_bnf_suppl_turc_984_190v_n_1	object.audition_certificate_number	N. 1
auditioncertificate_bnf_suppl_turc_984_190v_n_1	object.catalog	None
auditioncertificate_bnf_suppl_turc_984_190v_n_1	object.classmark	Suppl Turc 984
auditioncertificate_bnf_suppl_turc_984_190v_n_1	object.folio_number	190v
auditioncertificate_bnf_suppl_turc_984_190v_n_1	object.image_link	https://gallica.bnf.fr/ark:/12148/btv1b10082841z/f195.highres
auditioncertificate_bnf_suppl_turc_984_190v_n_1	object.library	BNF
auditioncertificate_bnf_suppl_turc_984_190v_n_1	object.manuscript_link	https://gallica.bnf.fr/ark:/12148/btv1b10082841z/f195.item.r=%22turc%20984%22.zoom
auditioncertificate_stabi_wetzstein_ii_1751_42r_n_2	characteristics.copy	False
auditioncertificate_stabi_wetzstein_ii_1751_42r_n_2	characteristics.type	qira
auditioncertificate_stabi_wetzstein_ii_1751_42r_n_2	edit.amended_by	None
auditioncertificate_stabi_wetzstein_ii_1751_42r_n_2	edit.editor	Said Aljoumani
auditioncertificate_stabi_wetzstein_ii_1751_42r_n_2	edit.status	wip
auditioncertificate_stabi_wetzstein_ii_1751_42r_n_2	object.audition_certificate_number	N. 2
auditioncertificate_stabi_wetzstein_ii_1751_42r_n_2	object.classmark	Wetzstein II 1751
auditioncertificate_stabi_wetzstein_ii_1751_42r_n_2	object.folio_number	42r
auditioncertificate_stabi_wetzstein_ii_1751_42r_n_2	object.image_link	
auditioncertificate_stabi_wetzstein_ii_1751_42r_n_2	object.library	Stabi
auditioncertificate_stabi_wetzstein_ii_1751_42r_n_2	object.manuscript_link	None
auditioncertificate_snl_3760_4_55r_n_6	characteristics.copy	True
auditioncertificate_snl_3760_4_55r_n_6	characteristics.note	
auditioncertificate_snl_3760_4_55r_n_6	characteristics.type	qira
auditioncertificate_snl_3760_4_55r_n_6	context.author_name	الحسين بن إسماعيل المحاملي
auditioncertificate_snl_3760_4_55r_n_6	context.author_viaf	None
auditioncertificate_snl_3760_4_55r_n_6	context.work_title	أمالي المحاملي  ج4
auditioncertificate_snl_3760_4_55r_n_6	edit.amended_by	None
auditioncertificate_snl_3760_4_55r_n_6	edit.editor	Said Aljoumani
auditioncertificate_snl_3760_4_55r_n_6	edit.status	wip
auditioncertificate_snl_3760_4_55r_n_6	object.audition_certificate_number	N. 6
auditioncertificate_snl_3760_4_55r_n_6	object.catalog	FMMU 112
auditioncertificate_snl_3760_4_55r_n_6	object.classmark	3760/4
auditioncertificate_snl_3760_4_55r_n_6	object.folio_number	55r
auditioncertificate_snl_3760_4_55r_n_6	object.library	SNL
auditioncertificate_snl_3760_4_55r_n_6	object.manuscript_link	None
auditioncertificate_snl_3747_6_84r_n_1	characteristics.copy	False
auditioncertificate_snl_3747_6_84r_n_1	characteristics.type	qira
auditioncertificate_snl_3747_6_84r_n_1	context.author_name	إسماعيل بن أحمد بن عمر السمرقندي
auditioncertificate_snl_3747_6_84r_n_1	context.author_viaf	None
auditioncertificate_snl_3747_6_84r_n_1	context.work_title	ما قرب سنده من حديث أبي القاسم السمرقندي
auditioncertificate_snl_3747_6_84r_n_1	edit.amended_by	None
auditioncertificate_snl_3747_6_84r_n_1	edit.editor	Said Aljoumani
auditioncertificate_snl_3747_6_84r_n_1	edit.status	wip
auditioncertificate_snl_3747_6_84r_n_1	object.audition_certificate_number	N. 1
auditioncertificate_snl_3747_6_84r_n_1	object.catalog	FMMU 49
auditioncertificate_snl_3747_6_84r_n_1	object.classmark	3747/6
auditioncertificate_snl_3747_6_84r_n_1	object.folio_number	84r
auditioncertificate_snl_3747_6_84r_n_1	object.image_link	
auditioncertificate_snl_3747_6_84r_n_1	object.library	SNL
auditioncertificate_snl_3747_6_84r_n_1	object.manuscript_link	None
auditioncertificate_snl_3739_2_23v_n_1	characteristics.copy	False
auditioncertificate_snl_3739_2_23v_n_1	characteristics.type	qira
auditioncertificate_snl_3739_2_23v_n_1	context.author_name	محمد بن إسماعيل البخاري
auditioncertificate_snl_3739_2_23v_n_1	context.work_title	ثلاثيات البخاري
auditioncertificate_snl_3739_2_23v_n_1	edit.amended_by	None
auditioncertificate_snl_3739_2_23v_n_1	edit.editor	Said Aljoumani
auditioncertificate_snl_3739_2_23v_n_1	edit.status	wip
auditioncertificate_snl_3739_2_23v_n_1	object.audition_certificate_number	N. 1
auditioncertificate_snl_3739_2_23v_n_1	object.catalog	FMMU 17
auditioncertificate_snl_3739_2_23v_n_1	object.classmark	3739/2
auditioncertificate_snl_3739_2_23v_n_1	object.folio_number	23v
auditioncertificate_snl_3739_2_23v_n_1	object.image_link	
auditioncertificate_snl_3739_2_23v_n_1	object.library	SNL
auditioncertificate_snl_3739_2_23v_n_1	object.manuscript_link	None
auditioncertificate_snl_3754_8_41v	characteristics.copy	False
auditioncertificate_snl_3754_8_41v	characteristics.type	qira
auditioncertificate_snl_3754_8_41v	context.author_name	محمد بن أحمد بن إسماعيل ابن سمعون الواعظ
auditioncertificate_snl_3754_8_41v	context.author_viaf	None
auditioncertificate_snl_3754_8_41v	context.work_title	أمالي ابن سمعون الواعظ
auditioncertificate_snl_3754_8_41v	edit.amended_by	None
auditioncertificate_snl_3754_8_41v	edit.editor	Said Aljoumani
auditioncertificate_snl_3754_8_41v	edit.status	wip
auditioncertificate_snl_3754_8_41v	object.audition_certificate_number	
auditioncertificate_snl_3754_8_41v	object.catalog	FMMU 76
auditioncertificate_snl_3754_8_41v	object.classmark	3754/8 في الفهرس الرسالة السابعة
auditioncertificate_snl_3754_8_41v	object.folio_number	41v
auditioncertificate_snl_3754_8_41v	object.image_link	
auditioncertificate_snl_3754_8_41v	object.library	SNL
auditioncertificate_snl_3754_8_41v	object.manuscript_link	None
auditioncertificate_stabi_ms_or_quart_1069_236v	characteristics.copy	False
auditioncertificate_stabi_ms_or_quart_1069_236v	characteristics.type	qira
auditioncertificate_stabi_ms_or_quart_1069_236v	edit.amended_by	None
auditioncertificate_stabi_ms_or_quart_1069_236v	edit.editor	Said Aljoumani
auditioncertificate_stabi_ms_or_quart_1069_236v	edit.status	wip
auditioncertificate_stabi_ms_or_quart_1069_236v	object.audition_certificate_number	
auditioncertificate_stabi_ms_or_quart_1069_236v	object.classmark	Ms. or. Quart 1069
auditioncertificate_stabi_ms_or_quart_1069_236v	object.folio_number	236v
auditioncertificate_stabi_ms_or_quart_1069_236v	object.image_link	
auditioncertificate_stabi_ms_or_quart_1069_236v	object.library	Stabi
auditioncertificate_stabi_ms_or_quart_1069_236v	object.manuscript_link	None
auditioncertificate_stabi_ms_or_oct_3574_178v	characteristics.copy	False
auditioncertificate_stabi_ms_or_oct_3574_178v	characteristics.type	qira
auditioncertificate_stabi_ms_or_oct_3574_178v	edit.amended_by	None
auditioncertificate_stabi_ms_or_oct_3574_178v	edit.editor	Said Aljoumani
auditioncertificate_stabi_ms_or_oct_3574_178v	edit.status	wip
auditioncertificate_stabi_ms_or_oct_3574_178v	object.audition_certificate_number	
auditioncertificate_stabi_ms_or_oct_3574_178v	object.classmark	Ms. Or. Oct 3574
auditioncertificate_stabi_ms_or_oct_3574_178v	object.folio_number	178v
auditioncertificate_stabi_ms_or_oct_3574_178v	object.image_link	
auditioncertificate_stabi_ms_or_oct_3574_178v	object.library	Stabi
auditioncertificate_stabi_ms_or_oct_3574_178v	object.manuscript_link	None
auditioncertificate_bnf_arabe_722_42r_n_1	characteristics.copy	True
auditioncertificate_bnf_arabe_722_42r_n_1	characteristics.type	qira
auditioncertificate_bnf_arabe_722_42r_n_1	context.author_name	أحمد بن محمد بن أحمد السلفي
auditioncertificate_bnf_arabe_722_42r_n_1	context.author_viaf	http://viaf.org/viaf/54298152
auditioncertificate_bnf_arabe_722_42r_n_1	context.work_title	الأربعون
auditioncertificate_bnf_arabe_722_42r_n_1	edit.amended_by	None
auditioncertificate_bnf_arabe_722_42r_n_1	edit.editor	Said Aljoumani
auditioncertificate_bnf_arabe_722_42r_n_1	edit.status	wip
auditioncertificate_bnf_arabe_722_42r_n_1	object.audition_certificate_number	N. 1
auditioncertificate_bnf_arabe_722_42r_n_1	object.catalog	None
auditioncertificate_bnf_arabe_722_42r_n_1	object.classmark	Arabe 722
auditioncertificate_bnf_arabe_722_42r_n_1	object.folio_number	42r
auditioncertificate_bnf_arabe_722_42r_n_1	object.image_link	https://gallica.bnf.fr/ark:/12148/btv1b11004961m/f45.highres
auditioncertificate_bnf_arabe_722_42r_n_1	object.library	BNF
auditioncertificate_bnf_arabe_722_42r_n_1	object.manuscript_link	https://gallica.bnf.fr/ark:/12148/btv1b11004961m/f45.image.r=%22Arabe%20722%22
auditioncertificate_stabi_ms_or_oct_1483_96v	characteristics.copy	False
auditioncertificate_stabi_ms_or_oct_1483_96v	characteristics.type	qira
auditioncertificate_stabi_ms_or_oct_1483_96v	edit.amended_by	None
auditioncertificate_stabi_ms_or_oct_1483_96v	edit.editor	Said Aljoumani
auditioncertificate_stabi_ms_or_oct_1483_96v	edit.status	wip
auditioncertificate_stabi_ms_or_oct_1483_96v	object.audition_certificate_number	
auditioncertificate_stabi_ms_or_oct_1483_96v	object.classmark	Ms. Or. Oct. 1483
auditioncertificate_stabi_ms_or_oct_1483_96v	object.folio_number	96v
auditioncertificate_stabi_ms_or_oct_1483_96v	object.image_link	
auditioncertificate_stabi_ms_or_oct_1483_96v	object.library	Stabi
auditioncertificate_stabi_ms_or_oct_1483_96v	object.manuscript_link	http://resolver.staatsbibliothek-berlin.de/SBB0002852100000196
auditioncertificate_snl_3760_13_163r_n_6	characteristics.copy	False
